round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,2,H,12,0.041,0.04,0.048,0.045,0.04,0.039,0.04,0.04,0.04,0.039,0.001,0.001,
3,3,A,1,0.047,0.044,0.049,0.047,0.041,0.04,0.041,0.039,0.041,0.04,0.006,0.004,
3,3,B,1,0.041,0.044,0.048,0.045,0.039,0.038,0.038,0.038,0.0385,0.0385,0.0025,0.0055,
3,3,C,1,0.043,0.043,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.004,0.005,
3,3,D,1,0.064,0.044,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.025,0.0055,
3,3,E,1,0.047,0.053,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.039,0.007,0.014,
3,3,F,1,0.046,0.045,0.047,0.045,0.04,0.04,0.04,0.039,0.04,0.04,0.006,0.005,
3,3,G,1,0.045,0.045,0.048,0.045,0.04,0.04,0.04,0.039,0.04,0.0395,0.005,0.0055,
3,3,H,1,0.083,0.072,0.052,0.049,0.048,0.047,0.043,0.041,0.0455,0.043,0.0375,0.029,
3,3,A,2,0.041,0.042,0.049,0.048,0.04,0.04,0.04,0.04,0.04,0.0405,0.001,0.0015,
3,3,B,2,0.042,0.043,0.047,0.045,0.04,0.041,0.038,0.039,0.039,0.0405,0.003,0.0025,
3,3,C,2,0.091,0.074,0.047,0.044,0.039,0.037,0.039,0.038,0.039,0.038,0.052,0.036,
3,3,D,2,0.061,0.062,0.047,0.045,0.039,0.039,0.039,0.038,0.039,0.0385,0.022,0.0235,
3,3,E,2,0.042,0.041,0.046,0.045,0.038,0.038,0.039,0.04,0.0385,0.038,0.0035,0.003,
3,3,F,2,0.066,0.059,0.047,0.047,0.039,0.04,0.039,0.041,0.039,0.04,0.027,0.019,
3,3,G,2,0.05,0.042,0.047,0.044,0.041,0.038,0.04,0.039,0.0405,0.0395,0.0095,0.0025,
3,3,H,2,0.082,0.074,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0425,0.0355,
